,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
360,AT3G46600,0,0,0,0,0,0,1,1
361,AT3G46620,0,1,1,1,0,1,1,1
362,AT3G46930,0,0,1,1,0,0,1,0
363,AT3G48640,0,0,1,1,0,0,1,0
364,AT3G48650,0,0,1,1,0,0,1,1
365,AT3G49530,0,0,1,1,0,0,1,1
366,AT3G50060,0,0,1,1,0,0,1,1
367,AT3G50260,0,0,1,0,0,0,1,1
368,AT3G50760,0,0,1,0,0,0,1,0
369,AT3G50800,0,1,1,1,0,1,1,1
370,AT3G50930,0,0,1,1,0,0,1,1
371,AT3G50950,0,0,1,1,0,0,1,0
372,AT3G51710,0,0,0,0,0,0,0,1
373,AT3G52400,0,0,1,1,0,0,1,1
374,AT3G52450,0,1,1,1,0,0,1,1
375,AT3G52520,0,0,1,1,0,0,1,1
376,AT3G52800,0,0,1,1,0,0,1,1
377,AT3G54000,0,0,0,0,0,0,1,0
378,AT3G54150,0,0,1,0,0,0,0,0
379,AT3G54200,0,0,0,0,0,0,1,0
380,AT3G55840,0,0,1,1,0,0,1,1
381,AT3G55980,0,1,1,1,0,1,1,1
382,AT3G56400,0,0,1,0,0,0,1,0
383,AT3G56710,0,0,1,1,0,1,1,1
384,AT3G56790,0,0,0,1,0,0,1,1
385,AT3G56880,0,0,1,1,0,0,1,1
386,AT3G57380,0,0,1,0,0,0,0,0
387,AT3G57450,0,0,1,1,0,0,1,1
388,AT3G57530,0,0,1,1,0,0,1,1
389,AT3G57640,0,0,1,1,0,0,1,1
390,AT3G57740,0,0,1,0,0,0,0,0
391,AT3G57760,0,0,1,1,0,0,1,0
392,AT3G58210,0,0,0,0,0,1,0,0
393,AT3G59080,0,0,1,1,0,0,1,1
394,AT3G60550,0,0,0,1,0,0,1,1
395,AT3G61190,0,1,1,1,0,0,1,1
396,AT3G61390,0,0,0,0,0,1,0,0
397,AT3G62260,0,0,0,0,0,0,1,0
398,AT4G01250,0,0,1,1,0,0,1,1
399,AT4G01360,0,0,1,1,0,0,1,0
400,AT4G01520,0,0,0,0,0,0,1,0
401,AT4G01535,0,0,1,1,0,0,1,0
402,AT4G01540,0,0,0,0,0,0,1,0
403,AT4G01950,0,0,1,1,0,0,1,1
404,AT4G02200,0,0,1,0,0,0,1,0
405,AT4G02410,0,0,1,1,0,0,1,1
406,AT4G08040,0,0,1,0,0,0,1,0
407,AT4G08345,0,0,0,0,0,1,0,0
408,AT4G11000,0,0,1,1,0,0,1,0
409,AT4G11280,0,1,1,1,0,1,1,1
410,AT4G11300,0,0,1,0,0,0,1,0
411,AT4G12720,0,0,0,0,0,0,1,0
412,AT4G12735,0,0,1,0,0,0,0,0
413,AT4G13395,0,0,1,1,0,1,1,1
414,AT4G14365,0,0,1,0,0,0,1,0
415,AT4G14370,0,0,0,0,0,0,1,0
416,AT4G14450,0,1,1,1,0,1,1,1
417,AT4G15975,0,0,1,1,0,0,1,1
418,AT4G17230,0,0,0,0,0,0,1,0
419,AT4G17250,0,0,1,1,0,0,1,1
420,AT4G17490,0,1,1,1,0,1,1,1
421,AT4G17500,0,0,1,1,0,0,1,1
422,AT4G18170,0,0,1,1,0,0,1,1
423,AT4G18195,0,1,1,1,0,0,1,1
424,AT4G18197,0,0,1,1,0,0,1,1
425,AT4G18205,0,1,1,1,0,0,1,1
426,AT4G18210,0,0,1,0,0,0,1,1
427,AT4G18250,0,0,0,0,0,0,1,0
428,AT4G18422,0,0,1,1,0,0,1,1
429,AT4G18880,0,0,1,1,0,0,1,1
430,AT4G19920,0,0,0,0,0,0,1,0
431,AT4G20000,0,0,1,1,0,0,1,1
432,AT4G20780,0,0,0,0,0,0,0,1
433,AT4G20830,0,0,1,0,0,0,1,1
434,AT4G20860,0,0,1,0,0,0,1,0
435,AT4G21390,0,0,0,0,0,0,1,0
436,AT4G21920,0,0,1,0,0,0,0,0
437,AT4G23170,0,0,1,0,0,0,0,0
438,AT4G23180,0,0,1,1,0,0,1,1
439,AT4G23190,0,0,1,0,0,0,1,0
440,AT4G23215,0,0,1,1,0,0,1,0
441,AT4G23271,0,0,1,0,0,0,0,0
442,AT4G23515,0,0,0,0,0,0,1,1
443,AT4G23610,0,0,1,1,0,0,1,0
444,AT4G23810,0,1,1,1,0,0,1,1
445,AT4G24110,0,0,1,1,0,0,1,1
446,AT4G24204,0,0,0,0,0,1,0,0
447,AT4G24310,0,0,0,0,0,0,1,0
448,AT4G24380,0,0,1,1,0,0,1,1
449,AT4G24570,0,1,1,1,0,1,1,1
450,AT4G25390,0,0,0,0,0,0,0,1
451,AT4G25470,0,0,1,1,0,0,1,1
452,AT4G25490,0,0,1,0,0,0,1,1
453,AT4G25580,0,0,0,0,0,1,0,0
454,AT4G26200,0,0,1,1,0,0,1,0
455,AT4G26400,0,0,0,0,0,0,1,0
456,AT4G27280,0,1,1,1,0,0,1,1
457,AT4G27652,0,0,1,1,0,0,1,1
458,AT4G27654,0,0,1,0,0,0,1,1
459,AT4G27657,0,0,1,1,0,1,1,1
460,AT4G28085,0,0,1,0,0,0,1,1
461,AT4G28350,0,0,0,0,0,0,0,1
462,AT4G29610,0,0,1,1,0,0,1,1
463,AT4G29780,0,1,1,1,0,1,1,1
464,AT4G30280,0,0,1,0,0,0,1,0
465,AT4G30430,0,0,0,0,0,0,1,0
466,AT4G31550,0,0,1,1,0,0,1,1
467,AT4G31740,0,0,0,0,0,1,0,0
468,AT4G31800,0,0,0,0,0,0,1,0
469,AT4G33050,0,0,1,1,0,0,1,0
470,AT4G33920,0,0,1,1,0,0,1,0
471,AT4G34150,0,0,1,0,0,0,1,1
472,AT4G34410,0,0,1,1,0,0,1,0
473,AT4G35480,0,0,1,0,0,0,1,1
474,AT4G35985,0,0,0,0,0,0,1,0
475,AT4G36500,0,1,1,1,0,0,1,1
476,AT4G36550,0,0,0,0,0,0,1,0
477,AT4G37290,0,0,1,1,0,0,1,1
478,AT4G37370,0,0,1,0,0,0,1,1
479,AT4G37610,0,0,0,0,0,0,1,0
480,AT4G37770,0,0,0,0,0,0,1,0
481,AT4G38552,0,0,1,0,0,0,1,1
482,AT4G38560,0,0,1,1,0,0,0,0
483,AT4G39570,0,0,0,0,0,0,1,0
484,AT4G39580,0,0,1,1,0,0,1,1
485,AT4G39670,0,0,1,1,0,0,1,1
486,AT4G39890,0,0,0,0,0,0,1,0
487,AT4G40020,0,0,1,0,0,0,0,1
488,AT5G01100,0,0,0,1,0,0,1,0
489,AT5G01540,0,0,1,0,0,0,1,0
490,AT5G01640,0,0,0,0,0,0,1,1
491,AT5G03210,0,0,1,1,0,0,1,1
492,AT5G04340,0,1,1,1,0,1,1,1
493,AT5G04390,0,0,1,1,0,0,1,0
494,AT5G05300,0,0,1,1,0,0,1,1
495,AT5G05410,0,0,0,0,0,0,1,0
496,AT5G06320,0,0,1,1,0,0,1,1
497,AT5G06740,0,0,0,0,0,0,1,1
498,AT5G06865,0,0,1,0,0,0,0,0
499,AT5G08240,0,0,0,0,0,0,1,1
500,AT5G09800,0,0,1,1,0,0,1,0
501,AT5G09876,0,0,1,1,0,1,1,0
502,AT5G09930,0,0,0,0,0,1,0,0
503,AT5G10210,0,0,0,0,0,0,1,0
504,AT5G10340,0,0,0,0,0,1,0,0
505,AT5G10695,0,0,1,1,0,0,1,1
506,AT5G11140,0,0,1,1,0,0,1,1
507,AT5G11650,0,0,0,0,0,0,1,0
508,AT5G12380,0,0,0,1,0,0,0,0
509,AT5G12880,0,0,0,0,0,0,1,0
510,AT5G12940,0,0,0,0,0,0,0,1
511,AT5G13080,0,0,0,0,0,0,1,0
512,AT5G13190,0,0,0,0,0,0,1,0
513,AT5G15130,0,0,0,0,0,0,1,1
514,AT5G15870,0,0,1,1,0,0,1,1
515,AT5G17350,0,1,1,1,0,0,1,1
516,AT5G17810,0,0,0,0,0,1,0,0
517,AT5G18470,0,0,1,1,0,0,1,1
518,AT5G19230,0,0,1,1,0,0,1,1
519,AT5G19240,0,0,1,1,0,0,1,1
520,AT5G20230,0,0,1,1,0,0,1,1
521,AT5G21150,0,0,0,0,0,1,0,0
522,AT5G21960,0,0,1,1,0,0,1,1
523,AT5G22250,0,1,1,1,0,0,1,1
524,AT5G22520,0,0,1,1,0,0,1,0
525,AT5G22680,0,0,0,1,0,0,0,0
526,AT5G23840,0,0,0,0,0,0,0,1
527,AT5G24110,0,0,1,1,0,0,1,1
528,AT5G24590,0,0,1,1,0,0,1,0
529,AT5G24600,0,0,1,1,0,0,0,0
530,AT5G25250,0,0,1,1,0,0,1,0
531,AT5G25930,0,0,0,0,0,0,1,0
532,AT5G26030,0,0,1,1,0,0,1,0
533,AT5G26920,0,0,1,1,0,0,1,1
534,AT5G27420,0,1,1,1,0,1,1,1
535,AT5G28610,0,0,1,1,0,0,1,1
536,AT5G28630,0,1,1,1,0,0,1,1
537,AT5G35580,0,0,0,0,0,0,1,0
538,AT5G35735,0,0,0,0,0,0,1,0
539,AT5G36870,0,0,0,0,0,1,0,0
540,AT5G36920,0,0,1,0,0,0,1,0
541,AT5G36925,0,0,1,1,0,0,1,1
