,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
11415,AT5G51190,1,1,1,1,1,0,0,1,1,1,0
11416,AT5G51200,0,0,0,1,1,0,0,0,0,1,0
11417,AT5G51260,0,0,0,0,1,0,0,0,0,0,0
11418,AT5G51270,0,0,0,0,0,0,0,0,0,1,0
11419,AT5G51280,0,0,0,1,0,0,0,0,0,0,0
11420,AT5G51290,0,0,0,1,1,0,0,1,0,1,0
11421,AT5G51300,0,0,0,1,1,0,0,0,0,0,0
11422,AT5G51340,0,0,0,1,0,0,0,1,0,1,0
11423,AT5G51350,0,0,0,1,0,0,0,0,0,0,0
11424,AT5G51370,0,0,0,1,1,0,0,0,1,0,0
11425,AT5G51380,0,0,0,1,0,0,0,0,0,1,0
11426,AT5G51390,0,1,0,1,1,0,0,0,1,0,0
11427,AT5G51410,0,0,0,1,0,0,0,0,0,0,0
11428,AT5G51430,0,0,0,1,0,0,0,1,0,1,0
11429,AT5G51440,1,0,1,1,1,0,1,1,1,1,0
11430,AT5G51450,0,0,0,0,1,0,0,0,0,1,0
11431,AT5G51451,1,0,0,1,0,0,1,0,1,1,0
11432,AT5G51460,0,0,0,1,0,0,0,1,0,0,0
11433,AT5G51470,0,0,0,0,0,0,0,1,0,0,0
11434,AT5G51480,0,0,0,0,0,0,0,0,0,1,0
11435,AT5G51490,0,0,0,0,0,1,0,0,0,0,0
11436,AT5G51510,0,0,0,1,0,0,0,0,0,0,0
11437,AT5G51530,0,0,1,0,0,0,0,0,0,0,0
11438,AT5G51550,0,0,0,1,0,0,0,0,0,0,0
11439,AT5G51560,0,0,0,0,0,0,1,0,0,0,0
11440,AT5G51570,0,0,0,1,0,0,0,1,0,1,0
11441,AT5G51580,0,0,0,0,0,0,0,0,0,1,0
11442,AT5G51590,0,0,0,0,0,0,0,0,0,1,0
11443,AT5G51600,0,0,0,0,0,0,0,0,0,0,1
11444,AT5G51620,0,0,0,1,1,0,0,0,0,0,0
11445,AT5G51630,0,0,0,0,0,0,0,0,0,1,0
11446,AT5G51640,0,0,0,1,1,0,0,1,0,1,0
11447,AT5G51690,0,0,0,0,0,0,0,0,0,1,0
11448,AT5G51700,0,0,0,0,1,0,0,0,0,1,0
11449,AT5G51710,0,0,0,1,1,0,0,1,0,1,0
11450,AT5G51720,0,1,0,1,0,0,0,0,1,0,0
11451,AT5G51740,0,0,0,1,0,0,0,0,0,1,0
11452,AT5G51750,0,0,0,1,0,0,0,0,0,0,0
11453,AT5G51770,0,0,0,1,1,0,0,1,0,1,0
11454,AT5G51780,0,0,0,0,0,0,0,0,1,1,0
11455,AT5G51820,0,0,0,1,0,0,0,0,0,0,0
11456,AT5G51830,0,0,0,1,1,0,0,1,1,1,0
11457,AT5G51890,0,0,0,0,1,0,0,0,1,0,0
11458,AT5G51920,0,0,0,1,0,0,1,1,0,0,0
11459,AT5G51950,0,0,0,1,0,0,0,0,0,0,0
11460,AT5G52020,0,0,0,1,1,0,0,1,0,0,0
11461,AT5G52050,1,1,1,1,1,0,0,1,1,1,0
11462,AT5G52070,0,0,0,0,0,0,0,0,0,1,0
11463,AT5G52170,0,0,0,1,0,0,0,0,0,0,0
11464,AT5G52200,0,0,0,1,1,0,0,0,0,0,0
11465,AT5G52210,0,0,0,1,1,0,0,1,0,1,0
11466,AT5G52240,0,0,0,1,1,0,0,1,0,1,0
11467,AT5G52250,0,0,0,0,1,0,0,0,0,0,0
11468,AT5G52270,1,0,0,0,0,0,0,0,0,0,0
11469,AT5G52310,0,0,0,0,0,1,0,0,1,0,0
11470,AT5G52320,0,1,1,1,0,0,0,1,0,0,0
11471,AT5G52380,0,0,0,1,0,0,0,0,0,0,0
11472,AT5G52390,0,0,0,0,0,0,1,0,0,1,0
11473,AT5G52410,0,0,0,0,0,0,0,0,0,1,0
11474,AT5G52430,0,0,0,1,0,0,0,0,0,1,0
11475,AT5G52450,1,0,0,1,0,0,0,1,1,1,0
11476,AT5G52470,0,0,0,1,0,0,0,0,0,0,0
11477,AT5G52471,0,0,0,0,0,0,0,0,0,1,0
11478,AT5G52510,0,0,0,1,0,0,0,1,0,1,0
11479,AT5G52530,0,0,0,1,1,0,0,0,0,1,0
11480,AT5G52540,0,0,0,1,0,0,0,0,0,0,0
11481,AT5G52545,0,0,0,0,0,0,0,0,0,1,0
11482,AT5G52560,0,0,0,0,0,0,0,0,0,1,0
11483,AT5G52570,0,0,0,1,1,0,0,0,0,1,0
11484,AT5G52580,0,0,0,1,1,0,0,1,0,1,0
11485,AT5G52600,0,0,0,0,1,0,0,0,0,0,0
11486,AT5G52630,0,0,0,1,0,0,0,0,0,0,0
11487,AT5G52640,1,1,0,1,1,1,1,1,1,1,0
11488,AT5G52670,0,1,1,1,1,0,1,1,1,1,1
11489,AT5G52710,0,0,1,0,1,0,0,1,1,1,0
11490,AT5G52720,0,0,0,0,1,0,0,1,1,1,0
11491,AT5G52750,1,1,0,1,1,0,0,1,1,1,0
11492,AT5G52760,1,1,0,1,1,1,0,1,1,1,0
11493,AT5G52790,0,0,0,0,1,0,0,0,0,0,0
11494,AT5G52800,0,0,0,1,1,0,0,1,1,0,0
11495,AT5G52810,0,0,0,1,1,0,0,1,1,1,0
11496,AT5G52830,0,0,0,1,1,1,0,1,1,1,0
11497,AT5G52860,0,0,0,1,0,1,1,0,1,0,0
