,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
304,AT2G21210,0,1,1,1,0,1,1,1
305,AT2G21560,0,0,0,1,0,0,0,0
306,AT2G22390,0,0,0,1,0,0,0,0
307,AT2G22496,0,0,0,1,0,0,0,0
308,AT2G22770,0,1,0,0,0,0,0,0
309,AT2G22930,0,0,0,1,0,0,0,0
310,AT2G23130,0,0,0,0,1,1,0,0
311,AT2G23180,0,0,1,0,0,0,0,0
312,AT2G23348,0,0,0,1,0,0,0,0
313,AT2G23550,0,1,0,0,0,0,0,0
314,AT2G23755,0,0,0,1,0,0,0,0
315,AT2G23790,0,0,0,1,0,0,0,0
316,AT2G24800,0,0,0,1,0,0,0,0
317,AT2G25130,0,1,0,0,0,0,0,0
318,AT2G25200,0,1,0,0,0,0,0,0
319,AT2G25900,0,1,0,0,1,0,0,0
320,AT2G25964,0,0,0,0,0,0,0,1
321,AT2G26110,0,0,0,1,0,0,1,0
322,AT2G26211,0,0,1,1,0,0,0,1
323,AT2G26710,0,0,0,0,0,0,1,0
324,AT2G27010,0,0,0,1,0,0,0,0
325,AT2G27770,0,0,1,0,0,0,1,0
326,AT2G27820,0,0,1,0,0,0,1,0
327,AT2G27930,0,0,0,0,0,0,0,1
328,AT2G28050,0,1,0,0,0,0,0,0
329,AT2G28105,0,0,0,0,0,0,0,1
330,AT2G28110,0,0,0,1,0,0,1,1
331,AT2G28120,1,0,1,1,0,0,1,0
332,AT2G28200,0,1,0,1,0,0,1,1
333,AT2G28550,0,0,0,0,0,0,1,1
334,AT2G28690,0,0,0,0,0,0,1,1
335,AT2G28810,0,0,0,1,0,0,0,0
336,AT2G28870,0,0,0,0,0,0,0,1
337,AT2G29300,0,0,0,0,1,0,0,0
338,AT2G29870,0,0,1,0,0,0,0,0
339,AT2G30070,0,0,1,0,0,0,0,0
340,AT2G30230,0,0,1,0,0,0,0,0
341,AT2G30424,0,0,0,0,0,0,0,1
342,AT2G30520,0,0,0,1,0,0,1,0
343,AT2G30790,0,0,1,0,0,0,0,1
344,AT2G31082,0,0,0,0,0,0,0,1
345,AT2G31160,0,0,0,0,0,0,1,0
346,AT2G31180,0,0,0,0,0,0,0,1
347,AT2G31560,0,0,0,1,0,0,0,0
348,AT2G31940,0,0,0,1,0,0,0,0
349,AT2G32100,1,1,1,1,1,1,1,1
350,AT2G32390,0,0,0,0,0,0,1,0
351,AT2G32510,0,0,0,0,0,0,0,1
352,AT2G33320,0,0,0,1,0,0,0,0
353,AT2G33350,0,0,0,1,0,0,0,0
354,AT2G33380,0,1,0,0,0,0,0,0
355,AT2G34010,0,1,1,1,0,1,1,1
356,AT2G34340,0,1,0,0,0,0,0,0
357,AT2G34390,0,0,1,0,0,1,0,0
358,AT2G34600,0,0,0,1,0,0,0,0
359,AT2G35070,0,0,0,0,0,0,0,1
360,AT2G35075,0,0,1,0,0,0,1,1
361,AT2G35140,0,0,0,0,0,0,0,1
362,AT2G35470,0,0,1,0,0,0,0,1
363,AT2G35700,0,0,1,0,0,0,0,1
364,AT2G36026,0,0,0,0,0,0,0,1
365,AT2G36050,1,1,1,1,1,1,1,1
366,AT2G36090,0,0,0,1,0,0,1,1
367,AT2G36400,0,0,0,0,0,0,1,0
368,AT2G36540,0,0,1,0,0,0,0,0
369,AT2G36750,0,0,1,0,0,1,1,0
370,AT2G37300,0,0,0,0,0,0,0,1
371,AT2G37380,0,0,1,0,0,0,1,1
372,AT2G37460,0,0,0,1,0,0,0,0
373,AT2G37700,0,0,0,0,0,0,1,0
374,AT2G37960,0,0,0,1,0,0,1,0
375,AT2G38180,0,1,1,1,0,1,1,1
376,AT2G38300,0,0,0,1,0,0,0,1
377,AT2G38420,0,0,1,0,0,0,0,0
378,AT2G39180,0,0,0,0,0,0,1,0
379,AT2G39370,0,0,0,1,0,0,0,0
380,AT2G39681,0,0,0,1,0,0,0,0
381,AT2G39980,0,0,0,0,0,0,0,1
382,AT2G40200,0,0,1,1,0,0,1,0
383,AT2G40230,0,0,0,1,0,0,1,1
384,AT2G40330,0,0,1,1,0,0,0,1
385,AT2G40475,0,0,1,0,0,1,1,1
386,AT2G40610,0,0,1,0,0,0,1,0
387,AT2G40900,0,0,0,1,0,0,0,1
388,AT2G41230,0,0,0,0,0,0,0,1
389,AT2G41310,0,0,0,1,0,0,1,1
390,AT2G41940,0,0,1,0,0,1,1,1
391,AT2G42170,0,0,1,1,0,0,0,0
392,AT2G42200,0,0,0,0,0,0,1,0
393,AT2G42260,0,0,0,0,0,0,0,1
394,AT2G42280,0,0,1,1,0,0,1,1
395,AT2G42290,0,0,1,0,0,0,0,0
396,AT2G42370,0,0,1,0,0,0,0,0
397,AT2G42380,1,0,1,0,0,0,1,1
398,AT2G42620,0,1,1,1,0,1,1,1
399,AT2G42850,0,1,0,1,0,0,1,1
400,AT2G42870,0,0,0,0,1,0,1,1
401,AT2G42955,0,0,1,0,0,0,0,0
402,AT2G43340,0,0,0,0,0,0,0,1
403,AT2G43375,0,0,0,1,0,1,0,0
404,AT2G43440,0,0,0,0,0,1,0,1
405,AT2G43445,0,0,1,0,0,0,0,0
406,AT2G43870,0,0,0,0,0,0,0,1
407,AT2G44630,0,0,1,1,0,0,0,0
408,AT2G44700,0,0,1,0,0,0,0,0
409,AT2G44740,0,1,0,1,0,0,1,1
410,AT2G44940,0,0,1,1,0,0,0,1
411,AT2G45023,0,0,0,1,0,0,0,0
412,AT2G45210,0,0,0,1,0,0,1,1
413,AT2G45340,0,0,0,0,0,0,1,0
414,AT2G45350,0,0,1,0,0,0,1,0
415,AT2G45430,0,0,0,0,0,0,1,0
416,AT2G46240,0,0,1,0,0,0,1,0
417,AT2G46660,0,1,1,0,0,0,1,0
418,AT2G46670,0,0,0,0,0,0,0,1
419,AT2G46690,0,0,0,0,0,0,1,1
420,AT2G46790,0,0,0,0,0,0,0,1
421,AT2G47440,1,1,0,1,1,1,1,1
422,AT2G48075,0,0,0,0,0,1,0,0
423,AT3G01142,0,0,1,0,0,0,0,0
424,AT3G02170,0,0,0,0,0,0,1,0
425,AT3G02380,0,0,0,0,0,0,1,1
426,AT3G02550,1,1,1,0,1,0,0,0
427,AT3G03690,0,0,0,0,0,0,0,1
428,AT3G03700,0,0,1,0,0,0,0,0
429,AT3G03702,0,0,1,0,0,0,0,0
430,AT3G03820,0,0,1,1,0,1,1,1
431,AT3G03830,0,0,0,1,0,0,1,0
432,AT3G03840,0,0,0,1,0,0,1,0
433,AT3G03850,0,0,0,0,0,0,1,0
434,AT3G04070,1,0,1,0,0,0,0,1
435,AT3G04140,0,0,1,1,0,0,1,1
436,AT3G04160,0,0,1,0,0,0,0,1
437,AT3G04184,0,0,1,0,0,0,0,0
438,AT3G04445,0,0,0,1,0,0,0,0
439,AT3G04485,0,0,1,1,0,0,0,0
440,AT3G04530,0,0,0,1,0,0,1,1
441,AT3G04690,0,0,1,0,0,0,0,0
442,AT3G04700,0,0,0,1,0,0,0,0
443,AT3G05600,0,0,0,0,0,0,0,1
444,AT3G05936,0,1,0,1,0,0,0,0
445,AT3G06120,0,0,0,0,0,0,0,1
446,AT3G06778,0,0,0,1,0,0,0,1
447,AT3G06840,0,0,0,0,0,0,0,1
448,AT3G06868,0,0,0,1,0,0,1,0
449,AT3G06990,0,0,0,0,0,0,1,1
450,AT3G07000,0,0,0,1,0,0,0,0
451,AT3G07350,0,1,0,0,0,0,0,0
452,AT3G07730,0,0,1,1,0,0,0,0
453,AT3G09450,1,1,1,1,0,1,1,1
454,AT3G10000,0,0,0,0,0,0,1,0
455,AT3G10040,1,1,1,1,0,1,1,0
456,AT3G10113,0,1,1,1,1,1,1,0
457,AT3G10190,0,0,1,1,0,0,1,1
458,AT3G10570,0,0,0,0,0,0,1,0
459,AT3G11090,0,0,1,0,0,0,0,0
460,AT3G11110,0,1,1,0,0,0,1,1
461,AT3G11260,0,0,0,0,0,0,0,1
462,AT3G11340,0,0,0,1,0,0,0,0
463,AT3G11410,0,0,1,0,0,0,1,0
